metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
asansor calismiyo kartal istasyon,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
asansor calismiyor kartal istasyon,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Asansör kapısı takıldı Vezneciler B1,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansör kapısı takıldı B1 kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
Yürüyen merdiven 3 durdu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Yürüyen merdiven durdu 3. peron,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
Yürüyen merdiven ses çıkarıyor Ümraniye,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
yuruyen merdiven ses cikar taksim,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Bariyer hidrolik yağ basıyor Topkapı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Bariyer hidrolik yağı sızıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Cikis kapisi acilmiyor personel yok pendik,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
"Esenler istasyonundaki bariyerlerin fiziksel kilitlenme sorunu ne zaman çözüme kavuşturulacak, bilgi verebilir misiniz?",mekanik_istasyon,0,information_request,2,P3,2,standart,missing:gemini
Seyrantepe istasyonu asansör kabini katla hizalanmıyor yolcu bindirmiyoruz güvenlik nedeniyle.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Halkalı istasyonu giriş otomatik kapısı takılı kalıyor el ile açılıp kapatılıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Kapi acilmiyor yolcu saglam cikis.,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Turnike gövdesi çatlak Kadıköy giriş kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansör kapı lastiği kopuk,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Gelir mi teknik ekip üst kata?,mekanik_istasyon,0,information_request,2,P3,2,devrik,missing:gemini
Yenikapı istasyonu asansör kabin içlerine tutunma barlarının eklenmesi yolcu güvenliği açısından faydalı olacaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
Yürüyen merdiven durdu Hacıosman çıkış,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
asansor kapisi acilmiyo taksim ust,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Otomatik kapı rayından çıktı Ataşehir,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Otomatik kapı rayı kirli,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Yürüyen yol biter mi?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
sisli bilet holundeki kapi ne zaman acilacak?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
Turnike mécanik sayaç durdu,mekanik_istasyon,0,fault_report,0,P4,3,cok_kisa,relabel:gemini
Asansör butonu takıldı Şişhane,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
sishane yuruyen merdiven basamak plakasi kopuk,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kilitlenmiyor acil tahliye kapısı otomasyona bağlı Şişhane'de.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:openrouter
turnikenin kolu kirik ne zaman yapilcak bu?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
Gayrettepe istasyonu kuzey girişindeki asansör kapı raylarına fırça sistemi eklenmesi tıkanmaları önleyecektir.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
asansor kata asagi inmiyo sishane,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Yürüyen merdiven yavaşladı Ataşehir 1 no,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Yoğun saatlerde turnike geçişlerini hızlandırmak için döner kolların hafifletilmiş alaşımla değiştirilmesini teklif ediyorum.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
Kat kapısı lastiği soyuldu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
asansor seviye farki var fevzi cakmak,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
ym 04 dondu yenisahra peron uzu,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Şirinevler 1. peron merdiven durdu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Yıldız Teknik Üniversitesi istasyonu merdiven direksiyon kolu kırık yön değiştirilemiyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Asansör kat kapı çerçevesi çatlak,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Hacıosman istasyonu ikinci perondaki çalışmayan yürüyen yolun ne zaman devreye alınacağı konusunda bilgi beklemekteyiz.,mekanik_istasyon,0,information_request,2,P3,2,standart,missing:gemini
ym 02 yavas calisiyo osmanbey,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Asansör kapı mandalı kırık,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Merdiven basamak kırığı.,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
yuruyen yolun paleti bugun degisir mi acaba?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
yuruyen merdiven aniden durdu gayrettepe,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
asansor kata ara kaliyo dudullu,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Asansör kapısı kapanmıyor Pendik,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Bakırköy istasyonu asansör çağrı butonları yanıt vermiyor kabin hareket etmiyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Turnike 2 kol dönmüyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Merdiven zinciri koptu Mahmutbey,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Kapali gecis acilmiyor gayrettepe yolcu gec kalir,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Açılacak mı bugün otopark bariyeri?,mekanik_istasyon,0,information_request,2,P3,2,devrik,missing:gemini
Şart ek tutamak asansör kabin içine.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,missing:gemini
Bariyer kolu çöküverdi Mahmutbey çıkış,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Ataköy bilet holü çıkış kapılarına rüzgar kesici otomatik bariyer sistemi kurulması ısıl dengeyi koruyacaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
İTÜ-Ayazağa istasyonu turnike kolu saplandı döngüye girdi mekanik kasılma mevcut.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Turnike gövdesi çatlak Bostancı bilet 홓,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Yenilensin turnike gövdeleri Şişhane bilet holü.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,missing:gemini
Kadıköy istasyonu B çıkışı asansörü kapıları açılıyor kapanmıyor yolcular içeride kaldı.,mekanik_istasyon,0,incident_report,1,P1,0,standart,relabel:gemini
Turnike 9 kapı kilidi açılmıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Bilgi var mı turnike kolu hakkında?,mekanik_istasyon,0,information_request,2,P3,2,devrik,missing:gemini
Kartal istasyonu 2 numaralı asansör motor ısınır duruyor tekrarlayan arıza bildirildi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
ym 01 motor sesi cikar osmanbey,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Şişli istasyonu kuzey girişindeki otomatik kapıların fiziksel onarımı için teknik ekip bugün istasyona gelecek mi?,mekanik_istasyon,0,information_request,2,P3,2,standart,missing:gemini
ym 03 durma komutu almiyo yenisehir,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kapı onarımı bitti mi?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
Turnike kolu kırıldı Ataköy bilet holü,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
turnike kapak takildi vezneciler cikis,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Sanayi Mahallesi istasyonundaki personelin nöbet çizelgelerini görüntülediği ekran fiziksel bir darbe sonucu hasar gördü.,mekanik_istasyon,0,fault_report,0,P3,2,standart,missing:gemini
Ümraniye istasyonu yürüyen merdiven étape plakaları kırık ayak ucu takılıyor.,mekanik_istasyon,0,fault_report,0,P2,1,standart,relabel:gemini
Sanayi Mahallesi istasyonu bariyer kapağı yerinden oynadı kapatılmıyor geçiş serbest.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
bariyerlerin kılıt sıstemı guclendırılse daha guvenlı olur bence.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,missing:gemini
Asansör kapı mandalı kırıldı Ümraniye,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Tamir saati belli mi?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
turnike kolu donmuyo giris kat,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Merdiven başlangıç plakası kalkık,mekanik_istasyon,0,fault_report,0,P2,1,cok_kisa,relabel:gemini
Turnike 12 geçiş vermiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Personel kapısı kilitlenmiyor yetkisiz giriş var.,mekanik_istasyon,0,fault_report,0,P2,1,cok_kisa,relabel:gemini
Yangın dolabı kapağı açılmıyor sıkışmış.,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Giriş kapısı yarım kaldı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Şirinevler aktarma merkezindeki yürüyen merdiven basamaklarına kaydırmaz bant uygulaması yapılması emniyeti artıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
gayrettepe 3 nolu turnike kart okutmadan zorlanarak aciliyo kacak gecis var,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Ne zaman takılır yeni cam kapı?,mekanik_istasyon,0,information_request,2,P4,3,devrik,missing:gemini
